,,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25
Unemployment rate 14,,8.4,8.4,8.3,8.2,8.2,8,8.2,8.2,8.2,8.1,7.9,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.4,7.4,7.5,7.5,7.6,7.5,7.7,7.6,7.4,7.4,7.6,7.4,7.3,7.4,7.4,7.4,7.4,7.3,7.1,7.1,7.3,7.2,7.1,7.2,7.3,7.3,7.1,7.3,7.1,7.4,7.3,7.3,7.1,7.1,7.3,7.2,7.1,7,7,6.8,6.8,6.7,6.8,6.9,6.9,7,6.9,6.9,7,7.1,7.1,7,7.1,7.3,7.2,7.3,7.2,7.3,7.1,7,7,6.9,7,6.9,6.8,6.9,6.9,6.6,6.7,6.5,6.6,6.5,6.3,6.2,6.2,6.3,6.2,6,5.9,6,5.8,5.8,5.9,6,5.9,6,5.8,5.6,5.7,5.6,5.7,5.8,5.8,5.7,5.5,5.6,5.7,5.7,5.6,5.6,5.9,5.6,5.5,5.8,8.5,13.7,14.2,12.6,10.9,10.1,9.1,9,8.6,8.9,9.2,8.5,7.7,8.2,8.3,7.9,7.4,7.1,7,6.5,6.1,5.9,6.4,5.5,5.4,5.4,5.2,4.9,4.8,5.2,5.1,5.1,5,5,5.1,5.1,5,5.1,5.2,5.4,5.5,5.5,5.5,5.7,5.7,5.8,5.7,5.9,6.1,6.2,6.3,6.4,6.4,6.7,6.6,6.6,6.9,6.7,6.6,6.6,6.7,6.9,7,6.9,6.9,7.1
Participation rate 15,,67,66.9,67,67.1,67.1,67.2,67.2,67.3,67.2,67,66.9,67,67.2,67.1,67,67.1,66.8,66.9,66.8,66.7,66.7,66.7,66.6,66.5,66.6,66.4,66.5,66.8,66.8,66.6,66.6,66.8,66.9,66.9,66.9,66.9,66.7,66.9,66.8,66.8,66.8,66.8,66.7,66.7,66.5,66.5,66.5,66.5,66.4,66.3,66.3,66.2,66.3,66.2,66.3,66,66.1,66,66,66,66,66.1,66.2,66.1,66.1,66,66,66.1,66.1,66,66,66,65.9,66,65.9,66,65.8,65.7,65.6,65.7,65.8,65.8,65.7,65.8,66,65.9,66,65.9,66,66.1,66,65.9,65.9,66,66.1,66.2,65.8,65.8,65.8,65.6,65.6,65.8,65.9,65.7,65.8,65.7,65.9,65.9,66,66.1,66,66.2,66,66,66,66.1,66,65.8,65.8,65.8,65.8,65.9,63.7,60.1,61.6,64.3,64.6,64.8,65.5,65.6,65.4,65.4,64.9,65.2,65.5,65.1,65,65.6,65.6,65.5,66,65.6,65.8,65.8,65.4,65.7,65.6,65.7,65.7,65.4,65.3,65.4,65.3,65.5,65.5,65.6,65.8,65.8,65.8,65.8,65.7,65.9,65.8,65.8,65.8,65.9,65.8,65.7,65.6,65.6,65.6,65.7,65.6,65.5,65.3,65.4,65.2,65.2,65.4,65.4,65.5,65.3,65.2,65.3,65.3,65.4,65.2,65.1
Employment rate 16,,61.4,61.3,61.4,61.6,61.6,61.8,61.7,61.7,61.7,61.6,61.7,61.7,61.9,61.8,61.8,61.9,61.7,61.7,61.8,61.8,61.7,61.6,61.5,61.5,61.5,61.4,61.7,61.9,61.8,61.7,61.7,61.8,62,61.9,62,62.1,62,62.2,61.9,62,62.1,62,61.8,61.8,61.7,61.7,61.7,61.6,61.6,61.5,61.6,61.5,61.4,61.5,61.6,61.4,61.4,61.5,61.5,61.6,61.5,61.5,61.6,61.4,61.5,61.4,61.4,61.5,61.4,61.4,61.3,61.2,61.2,61.2,61.1,61.2,61.2,61.1,61,61.1,61.2,61.2,61.2,61.3,61.4,61.5,61.6,61.6,61.6,61.8,61.9,61.8,61.8,61.8,62,62.2,61.9,61.8,62,61.8,61.8,61.9,62,61.8,62,62,62.1,62.2,62.2,62.3,62.1,62.4,62.4,62.4,62.2,62.3,62.3,62.1,61.9,62.2,62.1,62.1,58.3,51.9,52.9,56.2,57.5,58.2,59.6,59.7,59.8,59.6,58.9,59.7,60.4,59.8,59.6,60.4,60.7,60.8,61.3,61.4,61.8,61.9,61.2,62.1,62.1,62.2,62.3,62.1,62.2,62,62,62.1,62.1,62.3,62.5,62.5,62.5,62.5,62.3,62.3,62.2,62.2,62.2,62.1,62,61.9,61.8,61.7,61.6,61.6,61.4,61.3,61.1,61,61,60.8,60.9,61,61.1,61.1,60.9,60.8,60.8,60.9,60.7,60.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
