"Estimates of the components of interprovincial migration, quarterly 1 2 3 4 5"
"Frequency: Quarterly"
"Table: 17-10-0020-01 (formerly CANSIM 051-0017)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Interprovincial migration","In-migrants","Out-migrants"
"Geography","Reference period"
,,"Persons",
"Canada 6 7 8","Q1 2010","62,564","62,564"
,"Q2 2010","74,544","74,544"
,"Q3 2010","76,021","76,021"
,"Q4 2010","50,002","50,002"
,"Q1 2011","58,571","58,571"
,"Q2 2011","72,491","72,491"
,"Q3 2011","89,862","89,862"
,"Q4 2011","55,322","55,322"
,"Q1 2012","69,238","69,238"
,"Q2 2012","90,003","90,003"
,"Q3 2012","85,820","85,820"
,"Q4 2012","47,531","47,531"
,"Q1 2013","62,699","62,699"
,"Q2 2013","96,253","96,253"
,"Q3 2013","81,855","81,855"
,"Q4 2013","52,761","52,761"
,"Q1 2014","67,097","67,097"
,"Q2 2014","102,756","102,756"
,"Q3 2014","79,966","79,966"
,"Q4 2014","51,170","51,170"
,"Q1 2015","74,452","74,452"
,"Q2 2015","108,765","108,765"
,"Q3 2015","87,901","87,901"
,"Q4 2015","47,708","47,708"
,"Q1 2016","70,384","70,384"
,"Q2 2016","98,130","98,130"
,"Q3 2016","83,965","83,965"
,"Q4 2016","43,017","43,017"
,"Q1 2017","67,121","67,121"
,"Q2 2017","95,870","95,870"
,"Q3 2017","74,564","74,564"
,"Q4 2017","47,162","47,162"
,"Q1 2018","65,794","65,794"
,"Q2 2018","100,935","100,935"
,"Q3 2018","71,976","71,976"
,"Q4 2018","49,822","49,822"
,"Q1 2019","61,423","61,423"
,"Q2 2019","97,002","97,002"
,"Q3 2019","85,614","85,614"
,"Q4 2019","52,884","52,884"
,"Q1 2020","77,247","77,247"
,"Q2 2020","94,097","94,097"
,"Q3 2020","57,002","57,002"
,"Q4 2020","40,587","40,587"
,"Q1 2021","69,630","69,630"
,"Q2 2021","108,030","108,030"
,"Q3 2021","95,279","95,279"
,"Q4 2021","59,264","59,264"
,"Q1 2022","83,421","83,421"
,"Q2 2022","145,159","145,159"
,"Q3 2022","99,721","99,721"
,"Q4 2022","63,151","63,151"
,"Q1 2023","96,160","96,160"
,"Q2 2023","121,205","121,205"
,"Q3 2023","96,900","96,900"
,"Q4 2023","57,879","57,879"
,"Q1 2024","94,758","94,758"
,"Q2 2024","123,986","123,986"
,"Q3 2024","80,146","80,146"
,"Q4 2024","46,800","46,800"
,"Q1 2025","81,108","81,108"
,"Q2 2025","110,188","110,188"
"Newfoundland and Labrador 6","Q1 2010","2,392","2,154"
,"Q2 2010","2,108","2,246"
,"Q3 2010","1,904","2,208"
,"Q4 2010","1,698","1,345"
,"Q1 2011","2,012","2,081"
,"Q2 2011","2,171","2,121"
