"Estimates of the components of international migration, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0040-01 (formerly CANSIM 051-0037)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Components of population growth","Immigrants 3","Net emigration 4 5","Emigrants 5 6 7","Returning emigrants 5 7 8","Net temporary emigration 5 7 9","Net non-permanent residents 10 11 12","Non-permanent residents, inflows 11 13","Non-permanent residents, outflows 14"
"Geography","Reference period"
,,"Persons",,,,,,,
"Canada","Q1 2010","58,056","10,874","12,301","5,704","4,277","12,495","..",".."
,"Q2 2010","80,807","8,022","13,836","10,338","4,524","13,242","..",".."
,"Q3 2010","84,305","11,398","19,826","13,733","5,305","20,172","..",".."
,"Q4 2010","57,571","11,893","13,725","6,215","4,383","-33,982","..",".."
,"Q1 2011","49,571","12,114","13,747","6,018","4,385","9,741","..",".."
,"Q2 2011","67,696","7,457","14,168","11,160","4,449","18,793","..",".."
,"Q3 2011","71,864","16,013","22,222","14,070","7,861","24,890","..",".."
,"Q4 2011","59,604","15,348","14,988","6,027","6,387","-10,622","..",".."
,"Q1 2012","55,566","14,350","14,120","5,984","6,214","13,606","..",".."
,"Q2 2012","73,009","9,175","14,063","11,089","6,201","27,526","..",".."
,"Q3 2012","66,907","12,985","20,315","15,023","7,693","30,588","..",".."
,"Q4 2012","62,343","13,916","13,375","5,663","6,204","-25,513","..",".."
,"Q1 2013","58,255","15,063","14,286","5,622","6,399","14,639","..",".."
,"Q2 2013","75,610","9,838","14,153","10,686","6,371","29,807","..",".."
,"Q3 2013","65,409","11,396","19,902","16,003","7,497","38,620","..",".."
,"Q4 2013","59,772","15,153","14,368","5,556","6,341","-30,082","..",".."
,"Q1 2014","64,461","15,698","14,680","5,388","6,406","6,046","..",".."
,"Q2 2014","78,294","11,254","14,772","9,942","6,424","18,283","..",".."
,"Q3 2014","65,546","13,862","21,768","15,647","7,741","33,889","..",".."
,"Q4 2014","52,007","14,142","14,002","6,027","6,167","-41,248","..",".."
,"Q1 2015","51,129","15,927","14,989","5,431","6,369","-11,185","..",".."
,"Q2 2015","72,093","10,113","15,078","11,353","6,388","8,703","..",".."
,"Q3 2015","78,903","14,644","23,493","16,797","7,948","19,982","..",".."
,"Q4 2015","69,742","15,882","15,385","5,855","6,352","-26,830","..",".."
,"Q1 2016","86,246","15,462","15,111","5,951","6,302","11,939","..",".."
,"Q2 2016","88,297","8,909","13,904","11,057","6,062","30,357","..",".."
,"Q3 2016","68,231","16,648","41,778","25,130","..","53,175","..",".."
,"Q4 2016","53,611","15,753","26,680","10,927","..","-6,749","..",".."
,"Q1 2017","72,837","15,964","27,115","11,151","..","10,350","..",".."
,"Q2 2017","78,015","8,115","24,391","16,276","..","47,000","..",".."
