"Estimates of the components of natural increase, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0059-01 (formerly CANSIM 053-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Estimates","Births 3 4","Deaths 5 6"
"Geography","Reference period"
,,"Number",
"Canada","Q1 2010","90,816","61,206"
,"Q2 2010","95,638","58,295"
,"Q3 2010","99,346","57,782"
,"Q4 2010","93,391","62,970"
,"Q1 2011","89,913","65,348"
,"Q2 2011","96,015","59,567"
,"Q3 2011","101,069","57,272"
,"Q4 2011","92,247","61,518"
,"Q1 2012","91,423","64,103"
,"Q2 2012","95,596","59,776"
,"Q3 2012","101,531","58,418"
,"Q4 2012","94,551","64,598"
,"Q1 2013","91,023","68,169"
,"Q2 2013","95,504","60,680"
,"Q3 2013","101,045","59,027"
,"Q4 2013","93,482","64,547"
,"Q1 2014","91,526","66,905"
,"Q2 2014","96,824","62,643"
,"Q3 2014","102,614","60,902"
,"Q4 2014","93,613","68,449"
,"Q1 2015","90,789","73,200"
,"Q2 2015","96,823","63,762"
,"Q3 2015","101,906","61,009"
,"Q4 2015","93,461","66,554"
,"Q1 2016","92,152","69,974"
,"Q2 2016","96,781","64,741"
,"Q3 2016","102,755","62,973"
,"Q4 2016","92,335","69,876"
,"Q1 2017","90,121","75,303"
,"Q2 2017","95,343","66,365"
,"Q3 2017","100,344","64,953"
,"Q4 2017","92,278","71,936"
,"Q1 2018","89,421","78,450"
,"Q2 2018","95,120","68,600"
,"Q3 2018","99,399","66,304"
,"Q4 2018","91,088","72,600"
,"Q1 2019","88,444","74,728"
,"Q2 2019","94,376","69,516"
,"Q3 2019","99,977","67,055"
,"Q4 2019","90,632","74,285"
,"Q1 2020","88,757","76,920"
,"Q2 2020","91,955","78,935"
,"Q3 2020","95,041","70,848"
,"Q4 2020","85,461","81,988"
,"Q1 2021","87,019","80,046"
,"Q2 2021","95,042","74,415"
,"Q3 2021","99,851","75,225"
,"Q4 2021","90,715","83,161"
,"Q1 2022","84,224","88,170"
,"Q2 2022","89,659","78,323"
,"Q3 2022","94,429","79,909"
,"Q4 2022","86,902","90,616"
,"Q1 2023","82,955","84,042"
,"Q2 2023","88,390","77,882"
,"Q3 2023","92,975","77,102"
,"Q4 2023","88,916","87,856"
,"Q1 2024","88,013","86,544"
,"Q2 2024","91,866","78,994"
,"Q3 2024","96,027","78,582"
,"Q4 2024","89,836","87,439"
,"Q1 2025","89,945","88,962"
,"Q2 2025","93,120","79,716"
"Newfoundland and Labrador 7","Q1 2010","1,168","1,133"
,"Q2 2010","1,219","1,138"
,"Q3 2010","1,279","1,059"
,"Q4 2010","1,234","1,152"
,"Q1 2011","1,076","1,178"
,"Q2 2011","1,188","1,152"
,"Q3 2011","1,132","1,105"
,"Q4 2011","1,084","1,096"
,"Q1 2012","1,052","1,242"
