"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2025-10-17"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Housing estimates","Housing starts",,,,,
,,"Type of unit","Total units","Single-detached","Multiples","Semi-detached","Row","Apartment and other unit type"
"Geography","Seasonal adjustment","Reference period"
"Canada",,,"Units",,,,,
,"Unadjusted","Q1 2010","35,014","16,889","18,125","2,589","3,565","11,971"
,,"Q2 2010","55,287","28,958","26,329","4,126","5,483","16,720"
,,"Q3 2010","52,671","25,929","26,742","3,194","5,461","18,087"
,,"Q4 2010","46,958","20,778","26,180","3,097","5,348","17,735"
,,"Q1 2011","33,553","12,265","21,288","2,091","3,318","15,879"
,,"Q2 2011","52,625","23,677","28,948","3,857","5,166","19,925"
,,"Q3 2011","55,615","24,803","30,812","3,196","5,173","22,443"
,,"Q4 2011","52,157","21,647","30,510","3,426","5,790","21,294"
,,"Q1 2012","39,902","13,116","26,786","2,495","4,757","19,534"
,,"Q2 2012","62,025","24,812","37,213","4,119","5,694","27,400"
,,"Q3 2012","60,338","24,896","35,442","3,872","5,788","25,782"
,,"Q4 2012","52,562","20,833","31,729","3,799","4,737","23,193"
,,"Q1 2013","33,477","12,065","21,412","2,318","3,557","15,537"
,,"Q2 2013","51,259","22,490","28,769","3,760","5,345","19,664"
,,"Q3 2013","52,734","22,667","30,067","3,398","5,682","20,987"
,,"Q4 2013","50,453","19,671","30,782","3,068","5,409","22,305"
,,"Q1 2014","33,923","11,217","22,706","2,369","3,556","16,781"
,,"Q2 2014","53,281","21,494","31,787","4,018","6,353","21,416"
,,"Q3 2014","53,961","23,265","30,696","3,607","5,749","21,340"
,,"Q4 2014","48,164","19,539","28,625","3,413","5,790","19,422"
,,"Q1 2015","35,175","10,266","24,909","2,102","3,355","19,452"
,,"Q2 2015","52,248","19,284","32,964","3,279","6,498","23,187"
,,"Q3 2015","57,427","20,397","37,030","2,964","5,678","28,388"
,,"Q4 2015","50,685","18,178","32,507","2,702","6,080","23,725"
,,"Q1 2016","38,175","11,819","26,356","1,873","3,877","20,606"
,,"Q2 2016","53,286","19,826","33,460","3,174","6,088","24,198"
,,"Q3 2016","54,899","21,774","33,125","2,918","6,426","23,781"
,,"Q4 2016","51,555","20,670","30,885","2,865","6,262","21,758"
,,"Q1 2017","42,862","12,835","30,027","2,189","5,201","22,637"
,,"Q2 2017","55,085","21,499","33,586","3,293","6,929","23,364"
,,"Q3 2017","61,174","23,037","38,137","3,584","8,070","26,483"
