province,total_housing_starts,single_detached_starts,multiples_starts,semi_detached_starts,row_housing_starts,apartment_starts,quarter,year,quarter_date
Alberta,5651.0,3976.0,1675.0,749.0,436.0,490.0,Q1,2010,2010-03-31
Alberta,8238.0,5580.0,2658.0,743.0,824.0,1091.0,Q2,2010,2010-06-30
Alberta,7437.0,4639.0,2798.0,683.0,565.0,1550.0,Q3,2010,2010-09-30
Alberta,5762.0,3656.0,2106.0,562.0,771.0,773.0,Q4,2010,2010-12-31
Alberta,4211.0,2462.0,1749.0,466.0,485.0,798.0,Q1,2011,2011-03-31
Alberta,6281.0,4190.0,2091.0,778.0,641.0,672.0,Q2,2011,2011-06-30
Alberta,7589.0,4621.0,2968.0,769.0,623.0,1576.0,Q3,2011,2011-09-30
Alberta,7623.0,3920.0,3703.0,798.0,724.0,2181.0,Q4,2011,2011-12-31
Alberta,6484.0,3113.0,3371.0,713.0,651.0,2007.0,Q1,2012,2012-03-31
Alberta,9436.0,4855.0,4581.0,992.0,1030.0,2559.0,Q2,2012,2012-06-30
Alberta,8952.0,5176.0,3776.0,1151.0,961.0,1664.0,Q3,2012,2012-09-30
Alberta,8524.0,4349.0,4175.0,1030.0,673.0,2472.0,Q4,2012,2012-12-31
Alberta,6989.0,3549.0,3440.0,954.0,800.0,1686.0,Q1,2013,2013-03-31
Alberta,10435.0,5108.0,5327.0,1019.0,1098.0,3210.0,Q2,2013,2013-06-30
Alberta,8868.0,5255.0,3613.0,1072.0,955.0,1586.0,Q3,2013,2013-09-30
Alberta,9719.0,4519.0,5200.0,952.0,1139.0,3109.0,Q4,2013,2013-12-31
Alberta,8152.0,3691.0,4461.0,984.0,765.0,2712.0,Q1,2014,2014-03-31
Alberta,11231.0,5050.0,6181.0,1325.0,1382.0,3474.0,Q2,2014,2014-06-30
Alberta,11692.0,5927.0,5765.0,1174.0,1293.0,3298.0,Q3,2014,2014-09-30
Alberta,9515.0,4895.0,4620.0,1297.0,1161.0,2162.0,Q4,2014,2014-12-31
Alberta,10183.0,3524.0,6659.0,918.0,1251.0,4490.0,Q1,2015,2015-03-31
Alberta,9302.0,3917.0,5385.0,1181.0,1129.0,3075.0,Q2,2015,2015-06-30
Alberta,9403.0,3815.0,5588.0,1009.0,1257.0,3322.0,Q3,2015,2015-09-30
Alberta,8394.0,3301.0,5093.0,845.0,1022.0,3226.0,Q4,2015,2015-12-31
Alberta,4925.0,2253.0,2672.0,651.0,703.0,1318.0,Q1,2016,2016-03-31
