province,reference_period,immigrants,net_emigration,emigrants,returning_emigrants,net_temp_emigration,net_npr,npr_inflows,npr_outflows,quarter,year,quarter_date
Alberta,Q1 2010,6765.0,1313.0,1450.0,668.0,531.0,-141.0,,,Q1,2010,2010-03-31
Alberta,Q2 2010,9732.0,1082.0,1731.0,1211.0,562.0,-647.0,,,Q2,2010,2010-06-30
Alberta,Q3 2010,9485.0,825.0,2169.0,2002.0,658.0,-1794.0,,,Q3,2010,2010-09-30
Alberta,Q4 2010,6675.0,1167.0,1530.0,907.0,544.0,-6587.0,,,Q4,2010,2010-12-31
Alberta,Q1 2011,5917.0,1284.0,1617.0,878.0,545.0,-220.0,,,Q1,2011,2011-03-31
Alberta,Q2 2011,8387.0,410.0,1485.0,1627.0,552.0,140.0,,,Q2,2011,2011-06-30
Alberta,Q3 2011,8971.0,1897.0,3128.0,1886.0,655.0,257.0,,,Q3,2011,2011-09-30
Alberta,Q4 2011,7689.0,1390.0,1666.0,808.0,532.0,1513.0,,,Q4,2011,2011-12-31
Alberta,Q1 2012,7518.0,1370.0,1654.0,801.0,517.0,1585.0,,,Q1,2012,2012-03-31
Alberta,Q2 2012,10385.0,807.0,1777.0,1486.0,516.0,3141.0,,,Q2,2012,2012-06-30
Alberta,Q3 2012,9082.0,1508.0,2875.0,2007.0,640.0,1865.0,,,Q3,2012,2012-09-30
Alberta,Q4 2012,9107.0,1261.0,1502.0,757.0,516.0,-360.0,,,Q4,2012,2012-12-31
Alberta,Q1 2013,8093.0,1350.0,1569.0,752.0,533.0,5274.0,,,Q1,2013,2013-03-31
Alberta,Q2 2013,10583.0,811.0,1710.0,1428.0,529.0,7361.0,,,Q2,2013,2013-06-30
Alberta,Q3 2013,9154.0,792.0,2451.0,2282.0,623.0,4847.0,,,Q3,2013,2013-09-30
Alberta,Q4 2013,8802.0,1311.0,1576.0,792.0,527.0,1063.0,,,Q4,2013,2013-12-31
Alberta,Q1 2014,10350.0,1538.0,1773.0,768.0,533.0,1368.0,,,Q1,2014,2014-03-31
Alberta,Q2 2014,12752.0,908.0,1792.0,1418.0,534.0,297.0,,,Q2,2014,2014-06-30
Alberta,Q3 2014,10274.0,1353.0,2889.0,2180.0,644.0,14.0,,,Q3,2014,2014-09-30
Alberta,Q4 2014,9147.0,1423.0,1750.0,840.0,513.0,-5608.0,,,Q4,2014,2014-12-31
Alberta,Q1 2015,8204.0,1511.0,1738.0,757.0,530.0,-5841.0,,,Q1,2015,2015-03-31
Alberta,Q2 2015,11971.0,904.0,1955.0,1582.0,531.0,912.0,,,Q2,2015,2015-06-30
Alberta,Q3 2015,14171.0,1531.0,3032.0,2162.0,661.0,-4994.0,,,Q3,2015,2015-09-30
Alberta,Q4 2015,12888.0,1754.0,1979.0,754.0,529.0,-5144.0,,,Q4,2015,2015-12-31
Alberta,Q1 2016,15373.0,1762.0,2004.0,766.0,524.0,-3589.0,,,Q1,2016,2016-03-31
Alberta,Q2 2016,15435.0,1068.0,1987.0,1423.0,504.0,-2960.0,,,Q2,2016,2016-06-30
Alberta,Q3 2016,10098.0,2573.0,5569.0,2996.0,,-84.0,,,Q3,2016,2016-09-30
Alberta,Q4 2016,8350.0,2064.0,3342.0,1278.0,,-1681.0,,,Q4,2016,2016-12-31
Alberta,Q1 2017,13387.0,2231.0,3567.0,1336.0,,-4899.0,,,Q1,2017,2017-03-31
Alberta,Q2 2017,12291.0,1500.0,3487.0,1987.0,,-1106.0,,,Q2,2017,2017-06-30
Alberta,Q3 2017,8449.0,1712.0,4633.0,2921.0,,2771.0,,,Q3,2017,2017-09-30
Alberta,Q4 2017,7993.0,1264.0,2444.0,1180.0,,-1084.0,,,Q4,2017,2017-12-31
Alberta,Q1 2018,10619.0,1564.0,2751.0,1187.0,,-2025.0,,,Q1,2018,2018-03-31
Alberta,Q2 2018,11636.0,1034.0,2973.0,1939.0,,-767.0,,,Q2,2018,2018-06-30
Alberta,Q3 2018,10392.0,1140.0,4075.0,2935.0,,2280.0,,,Q3,2018,2018-09-30
Alberta,Q4 2018,9367.0,1403.0,2659.0,1256.0,,-1049.0,,,Q4,2018,2018-12-31
Alberta,Q1 2019,8545.0,1619.0,2778.0,1159.0,,503.0,,,Q1,2019,2019-03-31
Alberta,Q2 2019,12419.0,969.0,2818.0,1849.0,,1354.0,,,Q2,2019,2019-06-30
Alberta,Q3 2019,12700.0,1510.0,4245.0,2735.0,,2990.0,,,Q3,2019,2019-09-30
Alberta,Q4 2019,10053.0,1137.0,2252.0,1115.0,,1197.0,,,Q4,2019,2019-12-31
Alberta,Q1 2020,8478.0,1381.0,2639.0,1258.0,,-614.0,,,Q1,2020,2020-03-31
Alberta,Q2 2020,4263.0,427.0,1037.0,610.0,,-3375.0,,,Q2,2020,2020-06-30
Alberta,Q3 2020,4895.0,274.0,2368.0,2094.0,,-5135.0,,,Q3,2020,2020-09-30
Alberta,Q4 2020,5334.0,1176.0,2283.0,1107.0,,577.0,,,Q4,2020,2020-12-31
Alberta,Q1 2021,6775.0,1652.0,2499.0,847.0,,1072.0,,,Q1,2021,2021-03-31
Alberta,Q2 2021,7018.0,1476.0,2488.0,1012.0,,-1013.0,,,Q2,2021,2021-06-30
Alberta,Q3 2021,11475.0,1152.0,3688.0,2536.0,,3812.0,13981.0,10169.0,Q3,2021,2021-09-30
Alberta,Q4 2021,14123.0,1661.0,3210.0,1549.0,,-1678.0,8101.0,9779.0,Q4,2021,2021-12-31
Alberta,Q1 2022,12707.0,2093.0,3375.0,1282.0,,1517.0,8584.0,7067.0,Q1,2022,2022-03-31
Alberta,Q2 2022,14255.0,1398.0,3350.0,1952.0,,9839.0,15181.0,5342.0,Q2,2022,2022-06-30
Alberta,Q3 2022,12640.0,1832.0,4738.0,2906.0,,18771.0,26148.0,7377.0,Q3,2022,2022-09-30
Alberta,Q4 2022,9933.0,1590.0,3102.0,1512.0,,17591.0,22260.0,4669.0,Q4,2022,2022-12-31
Alberta,Q1 2023,17157.0,1818.0,3148.0,1330.0,,16488.0,25287.0,8799.0,Q1,2023,2023-03-31
Alberta,Q2 2023,14581.0,1134.0,3162.0,2028.0,,20152.0,24828.0,4676.0,Q2,2023,2023-06-30
Alberta,Q3 2023,11869.0,2079.0,5183.0,3104.0,,32345.0,39252.0,6907.0,Q3,2023,2023-09-30
Alberta,Q4 2023,13981.0,1477.0,2936.0,1459.0,,24228.0,30843.0,6615.0,Q4,2023,2023-12-31
Alberta,Q1 2024,15405.0,1724.0,3005.0,1281.0,,26876.0,34467.0,7591.0,Q1,2024,2024-03-31
Alberta,Q2 2024,19032.0,1044.0,3057.0,2013.0,,17130.0,26601.0,9471.0,Q2,2024,2024-06-30
Alberta,Q3 2024,16903.0,2141.0,5340.0,3199.0,,17284.0,28952.0,11668.0,Q3,2024,2024-09-30
Alberta,Q4 2024,15054.0,1520.0,3024.0,1504.0,,8722.0,19110.0,10388.0,Q4,2024,2024-12-31
Alberta,Q1 2025,13624.0,1779.0,3097.0,1318.0,,-669.0,12886.0,13555.0,Q1,2025,2025-03-31
Alberta,Q2 2025,12613.0,1075.0,3149.0,2074.0,,-3818.0,14119.0,17937.0,Q2,2025,2025-06-30
British Columbia,Q1 2010,9631.0,3092.0,2731.0,978.0,1339.0,4182.0,,,Q1,2010,2010-03-31
British Columbia,Q2 2010,12897.0,2311.0,2667.0,1772.0,1416.0,-1574.0,,,Q2,2010,2010-06-30
British Columbia,Q3 2010,13512.0,3416.0,3729.0,1973.0,1660.0,5229.0,,,Q3,2010,2010-09-30
British Columbia,Q4 2010,8155.0,3292.0,2813.0,893.0,1372.0,-7194.0,,,Q4,2010,2010-12-31
British Columbia,Q1 2011,7614.0,3140.0,2632.0,865.0,1373.0,1325.0,,,Q1,2011,2011-03-31
British Columbia,Q2 2011,9671.0,2424.0,2635.0,1603.0,1392.0,2651.0,,,Q2,2011,2011-06-30
British Columbia,Q3 2011,9882.0,3372.0,3939.0,2111.0,1544.0,9910.0,,,Q3,2011,2011-09-30
British Columbia,Q4 2011,7620.0,3818.0,3467.0,904.0,1255.0,-1021.0,,,Q4,2011,2011-12-31
British Columbia,Q1 2012,8656.0,3382.0,3060.0,898.0,1220.0,1830.0,,,Q1,2012,2012-03-31
British Columbia,Q2 2012,10079.0,2347.0,2792.0,1663.0,1218.0,3312.0,,,Q2,2012,2012-06-30
British Columbia,Q3 2012,9031.0,2956.0,3673.0,2228.0,1511.0,9390.0,,,Q3,2012,2012-09-30
British Columbia,Q4 2012,8469.0,3344.0,2966.0,840.0,1218.0,-3845.0,,,Q4,2012,2012-12-31
British Columbia,Q1 2013,8107.0,3848.0,3425.0,833.0,1256.0,2592.0,,,Q1,2013,2013-03-31
British Columbia,Q2 2013,10128.0,2475.0,2809.0,1585.0,1251.0,2597.0,,,Q2,2013,2013-06-30
British Columbia,Q3 2013,8936.0,2459.0,3539.0,2553.0,1473.0,11660.0,,,Q3,2013,2013-09-30
British Columbia,Q4 2013,9042.0,3933.0,3574.0,886.0,1245.0,-4977.0,,,Q4,2013,2013-12-31
British Columbia,Q1 2014,9564.0,3444.0,3045.0,859.0,1258.0,2991.0,,,Q1,2014,2014-03-31
British Columbia,Q2 2014,9936.0,2495.0,2820.0,1586.0,1261.0,1929.0,,,Q2,2014,2014-06-30
British Columbia,Q3 2014,7988.0,2628.0,3736.0,2628.0,1520.0,10950.0,,,Q3,2014,2014-09-30
British Columbia,Q4 2014,7682.0,3410.0,3213.0,1013.0,1210.0,-6912.0,,,Q4,2014,2014-12-31
British Columbia,Q1 2015,6784.0,3433.0,3096.0,913.0,1250.0,-1973.0,,,Q1,2015,2015-03-31
British Columbia,Q2 2015,9219.0,2072.0,2726.0,1908.0,1254.0,-20248.0,,,Q2,2015,2015-06-30
British Columbia,Q3 2015,10897.0,2829.0,4126.0,2857.0,1560.0,6242.0,,,Q3,2015,2015-09-30
British Columbia,Q4 2015,8831.0,3559.0,3308.0,996.0,1247.0,-4432.0,,,Q4,2015,2015-12-31
British Columbia,Q1 2016,11766.0,3248.0,3025.0,1013.0,1236.0,2477.0,,,Q1,2016,2016-03-31
British Columbia,Q2 2016,11729.0,2023.0,2713.0,1881.0,1191.0,5514.0,,,Q2,2016,2016-06-30
British Columbia,Q3 2016,7820.0,3380.0,7295.0,3915.0,,11345.0,,,Q3,2016,2016-09-30
British Columbia,Q4 2016,6774.0,4159.0,6075.0,1916.0,,-1461.0,,,Q4,2016,2016-12-31
British Columbia,Q1 2017,10660.0,4124.0,6060.0,1936.0,,2599.0,,,Q1,2017,2017-03-31
British Columbia,Q2 2017,10158.0,2300.0,4969.0,2669.0,,7675.0,,,Q2,2017,2017-06-30
British Columbia,Q3 2017,8698.0,2271.0,5840.0,3569.0,,15002.0,,,Q3,2017,2017-09-30
British Columbia,Q4 2017,8949.0,3367.0,5132.0,1765.0,,1564.0,,,Q4,2017,2017-12-31
British Columbia,Q1 2018,12187.0,3324.0,5006.0,1682.0,,3752.0,,,Q1,2018,2018-03-31
British Columbia,Q2 2018,12066.0,1956.0,4441.0,2485.0,,9441.0,,,Q2,2018,2018-06-30
British Columbia,Q3 2018,10859.0,1993.0,5599.0,3606.0,,16608.0,,,Q3,2018,2018-09-30
British Columbia,Q4 2018,9742.0,2893.0,4590.0,1697.0,,-1774.0,,,Q4,2018,2018-12-31
British Columbia,Q1 2019,8846.0,2758.0,4259.0,1501.0,,8072.0,,,Q1,2019,2019-03-31
British Columbia,Q2 2019,13686.0,1406.0,3640.0,2234.0,,8986.0,,,Q2,2019,2019-06-30
British Columbia,Q3 2019,15899.0,1658.0,5541.0,3883.0,,16450.0,,,Q3,2019,2019-09-30
