province,reference_period,in_migrants,out_migrants,net_interprovincial_migration,quarter,year,quarter_date
Alberta,Q1 2010,15008.0,14860.0,148.0,Q1,2010,2010-03-31
Alberta,Q2 2010,17251.0,16448.0,803.0,Q2,2010,2010-06-30
Alberta,Q3 2010,16766.0,16767.0,-1.0,Q3,2010,2010-09-30
Alberta,Q4 2010,12428.0,11098.0,1330.0,Q4,2010,2010-12-31
Alberta,Q1 2011,15768.0,12608.0,3160.0,Q1,2011,2011-03-31
Alberta,Q2 2011,19013.0,15059.0,3954.0,Q2,2011,2011-06-30
Alberta,Q3 2011,22147.0,18189.0,3958.0,Q3,2011,2011-09-30
Alberta,Q4 2011,15797.0,10901.0,4896.0,Q4,2011,2011-12-31
Alberta,Q1 2012,22632.0,12201.0,10431.0,Q1,2012,2012-03-31
Alberta,Q2 2012,26008.0,17641.0,8367.0,Q2,2012,2012-06-30
Alberta,Q3 2012,25552.0,15767.0,9785.0,Q3,2012,2012-09-30
Alberta,Q4 2012,15730.0,8026.0,7704.0,Q4,2012,2012-12-31
Alberta,Q1 2013,21438.0,11692.0,9746.0,Q1,2013,2013-03-31
Alberta,Q2 2013,29833.0,18470.0,11363.0,Q2,2013,2013-06-30
Alberta,Q3 2013,25511.0,15277.0,10234.0,Q3,2013,2013-09-30
Alberta,Q4 2013,16387.0,10900.0,5487.0,Q4,2013,2013-12-31
Alberta,Q1 2014,22290.0,13522.0,8768.0,Q1,2014,2014-03-31
Alberta,Q2 2014,31613.0,20720.0,10893.0,Q2,2014,2014-06-30
Alberta,Q3 2014,22189.0,15803.0,6386.0,Q3,2014,2014-09-30
Alberta,Q4 2014,14650.0,11574.0,3076.0,Q4,2014,2014-12-31
Alberta,Q1 2015,22849.0,16367.0,6482.0,Q1,2015,2015-03-31
Alberta,Q2 2015,29786.0,24136.0,5650.0,Q2,2015,2015-06-30
Alberta,Q3 2015,19080.0,21077.0,-1997.0,Q3,2015,2015-09-30
Alberta,Q4 2015,10187.0,12898.0,-2711.0,Q4,2015,2015-12-31
Alberta,Q1 2016,15118.0,19508.0,-4390.0,Q1,2016,2016-03-31
Alberta,Q2 2016,19513.0,25523.0,-6010.0,Q2,2016,2016-06-30
Alberta,Q3 2016,16345.0,20911.0,-4566.0,Q3,2016,2016-09-30
Alberta,Q4 2016,8889.0,11753.0,-2864.0,Q4,2016,2016-12-31
Alberta,Q1 2017,14342.0,17421.0,-3079.0,Q1,2017,2017-03-31
Alberta,Q2 2017,18991.0,24041.0,-5050.0,Q2,2017,2017-06-30
Alberta,Q3 2017,15592.0,16866.0,-1274.0,Q3,2017,2017-09-30
Alberta,Q4 2017,10077.0,11088.0,-1011.0,Q4,2017,2017-12-31
Alberta,Q1 2018,14897.0,15069.0,-172.0,Q1,2018,2018-03-31
Alberta,Q2 2018,21298.0,22088.0,-790.0,Q2,2018,2018-06-30
Alberta,Q3 2018,14480.0,14721.0,-241.0,Q3,2018,2018-09-30
Alberta,Q4 2018,10911.0,10853.0,58.0,Q4,2018,2018-12-31
Alberta,Q1 2019,13741.0,13599.0,142.0,Q1,2019,2019-03-31
Alberta,Q2 2019,19357.0,21348.0,-1991.0,Q2,2019,2019-06-30
Alberta,Q3 2019,16777.0,16706.0,71.0,Q3,2019,2019-09-30
