reference_period,province,population,quarter,year,quarter_date
Q1 2010,Alberta,3702290,Q1,2010,2010-03-31
Q2 2010,Alberta,3714999,Q2,2010,2010-06-30
Q3 2010,Alberta,3732104,Q3,2010,2010-09-30
Q4 2010,Alberta,3747235,Q4,2010,2010-12-31
Q1 2011,Alberta,3754422,Q1,2011,2011-03-31
Q2 2011,Alberta,3768774,Q2,2011,2011-06-30
Q3 2011,Alberta,3787705,Q3,2011,2011-09-30
Q4 2011,Alberta,3805071,Q4,2011,2011-12-31
Q1 2012,Alberta,3822425,Q1,2012,2012-03-31
Q2 2012,Alberta,3845093,Q2,2012,2012-06-30
Q3 2012,Alberta,3871947,Q3,2012,2012-09-30
Q4 2012,Alberta,3897746,Q4,2012,2012-12-31
Q1 2013,Alberta,3917941,Q1,2013,2013-03-31
Q2 2013,Alberta,3944281,Q2,2013,2013-06-30
Q3 2013,Alberta,3978532,Q3,2013,2013-09-30
Q4 2013,Alberta,4008421,Q4,2013,2013-12-31
Q1 2014,Alberta,4027497,Q1,2014,2014-03-31
Q2 2014,Alberta,4051858,Q2,2014,2014-06-30
Q3 2014,Alberta,4081271,Q3,2014,2014-09-30
Q4 2014,Alberta,4103702,Q4,2014,2014-12-31
Q1 2015,Alberta,4113697,Q1,2015,2015-03-31
Q2 2015,Alberta,4125943,Q2,2015,2015-06-30
Q3 2015,Alberta,4150147,Q3,2015,2015-09-30
Q4 2015,Alberta,4163048,Q4,2015,2015-12-31
Q1 2016,Alberta,4171847,Q1,2016,2016-03-31
Q2 2016,Alberta,4182353,Q2,2016,2016-06-30
Q3 2016,Alberta,4195427,Q3,2016,2016-09-30
Q4 2016,Alberta,4207139,Q4,2016,2016-12-31
Q1 2017,Alberta,4215506,Q1,2017,2017-03-31
Q2 2017,Alberta,4224933,Q2,2017,2017-06-30
Q3 2017,Alberta,4237310,Q3,2017,2017-09-30
Q4 2017,Alberta,4253530,Q4,2017,2017-12-31
Q1 2018,Alberta,4263957,Q1,2018,2018-03-31
Q2 2018,Alberta,4276444,Q2,2018,2018-06-30
Q3 2018,Alberta,4292556,Q3,2018,2018-09-30
Q4 2018,Alberta,4311439,Q4,2018,2018-12-31
Q1 2019,Alberta,4324254,Q1,2019,2019-03-31
Q2 2019,Alberta,4337569,Q2,2019,2019-06-30
Q3 2019,Alberta,4355377,Q3,2019,2019-09-30
Q4 2019,Alberta,4376860,Q4,2019,2019-12-31
Q1 2020,Alberta,4392958,Q1,2020,2020-03-31
Q2 2020,Alberta,4405455,Q2,2020,2020-06-30
Q3 2020,Alberta,4407495,Q3,2020,2020-09-30
Q4 2020,Alberta,4412013,Q4,2020,2020-12-31
Q1 2021,Alberta,4418338,Q1,2021,2021-03-31
Q2 2021,Alberta,4425617,Q2,2021,2021-06-30
Q3 2021,Alberta,4431531,Q3,2021,2021-09-30
Q4 2021,Alberta,4451129,Q4,2021,2021-12-31
Q1 2022,Alberta,4466136,Q1,2022,2022-03-31
Q2 2022,Alberta,4482503,Q2,2022,2022-06-30
Q3 2022,Alberta,4512731,Q3,2022,2022-09-30
Q4 2022,Alberta,4560275,Q4,2022,2022-12-31
Q1 2023,Alberta,4596901,Q1,2023,2023-03-31
Q2 2023,Alberta,4641615,Q2,2023,2023-06-30
Q3 2023,Alberta,4688576,Q3,2023,2023-09-30
Q4 2023,Alberta,4752173,Q4,2023,2023-12-31
Q1 2024,Alberta,4801806,Q1,2024,2024-03-31
Q2 2024,Alberta,4857695,Q2,2024,2024-06-30
Q3 2024,Alberta,4909030,Q3,2024,2024-09-30
Q4 2024,Alberta,4957075,Q4,2024,2024-12-31
Q1 2025,Alberta,4988181,Q1,2025,2025-03-31
Q2 2025,Alberta,5010078,Q2,2025,2025-06-30
Q3 2025,Alberta,5029346,Q3,2025,2025-09-30
Q1 2010,British Columbia,4441345,Q1,2010,2010-03-31
Q2 2010,British Columbia,4453756,Q2,2010,2010-06-30
Q3 2010,British Columbia,4465557,Q3,2010,2010-09-30
Q4 2010,British Columbia,4483613,Q4,2010,2010-12-31
Q1 2011,British Columbia,4482262,Q1,2011,2011-03-31
Q2 2011,British Columbia,4488509,Q2,2011,2011-06-30
Q3 2011,British Columbia,4503819,Q3,2011,2011-09-30
Q4 2011,British Columbia,4529186,Q4,2011,2011-12-31
Q1 2012,British Columbia,4539775,Q1,2012,2012-03-31
Q2 2012,British Columbia,4552320,Q2,2012,2012-06-30
Q3 2012,British Columbia,4570866,Q3,2012,2012-09-30
Q4 2012,British Columbia,4594846,Q4,2012,2012-12-31
Q1 2013,British Columbia,4602742,Q1,2013,2013-03-31
Q2 2013,British Columbia,4616335,Q2,2013,2013-06-30
Q3 2013,British Columbia,4634943,Q3,2013,2013-09-30
Q4 2013,British Columbia,4663919,Q4,2013,2013-12-31
Q1 2014,British Columbia,4672025,Q1,2014,2014-03-31
Q2 2014,British Columbia,4689892,Q2,2014,2014-06-30
Q3 2014,British Columbia,4712691,Q3,2014,2014-09-30
Q4 2014,British Columbia,4743505,Q4,2014,2014-12-31
Q1 2015,British Columbia,4751439,Q1,2015,2015-03-31
Q2 2015,British Columbia,4763917,Q2,2015,2015-06-30
Q3 2015,British Columbia,4765472,Q3,2015,2015-09-30
Q4 2015,British Columbia,4795547,Q4,2015,2015-12-31
Q1 2016,British Columbia,4807562,Q1,2016,2016-03-31
Q2 2016,British Columbia,4831042,Q2,2016,2016-06-30
Q3 2016,British Columbia,4861269,Q3,2016,2016-09-30
Q4 2016,British Columbia,4886638,Q4,2016,2016-12-31
Q1 2017,British Columbia,4894147,Q1,2017,2017-03-31
Q2 2017,British Columbia,4908971,Q2,2017,2017-06-30
Q3 2017,British Columbia,4934202,Q3,2017,2017-09-30
Q4 2017,British Columbia,4962706,Q4,2017,2017-12-31
Q1 2018,British Columbia,4974712,Q1,2018,2018-03-31
Q2 2018,British Columbia,4991716,Q2,2018,2018-06-30
Q3 2018,British Columbia,5020979,Q3,2018,2018-09-30
Q4 2018,British Columbia,5052131,Q4,2018,2018-12-31
Q1 2019,British Columbia,5061132,Q1,2019,2019-03-31
Q2 2019,British Columbia,5080515,Q2,2019,2019-06-30
Q3 2019,British Columbia,5111022,Q3,2019,2019-09-30
Q4 2019,British Columbia,5148047,Q4,2019,2019-12-31
Q1 2020,British Columbia,5157053,Q1,2020,2020-03-31
Q2 2020,British Columbia,5169535,Q2,2020,2020-06-30
